timestamp,zone_temp,outdoor_temp,fan_power,chiller_power,pump_power,hvac_power,cooling_rate,heating_rate,cooling_setpoint,heating_setpoint
0.25,21.884681184704203,-4.324999999999999,376.37784942167525,0.0,0.0,0.0,0.0,0.0,,
0.0625,21.884681184704203,-4.324999999999999,376.37784942167525,0.0,0.0,0.0,0.0,152.36622915241477,,
0.125,21.884681184704203,-4.324999999999999,376.37784942167525,0.0,0.0,0.0,0.0,0.0,,
0.1875,21.884681184704203,-4.324999999999999,376.37784942167525,0.0,0.0,0.0,0.0,0.0,,
0.25,21.884681184704203,-4.324999999999999,376.37784942167525,0.0,0.0,0.0,0.0,0.0,,
0.5,22.017646399509456,-6.949999999999999,376.37784942167525,0.0,0.0,0.0,0.0,0.0,,
0.3125,22.017646399509456,-6.949999999999999,376.37784942167525,0.0,0.0,0.0,0.0,0.0,,
0.375,22.017646399509456,-6.949999999999999,376.37784942167525,0.0,0.0,0.0,0.0,0.0,,
0.4375,22.017646399509456,-6.949999999999999,376.37784942167525,0.0,0.0,0.0,0.0,0.0,,
0.5,22.017646399509456,-6.949999999999999,376.37784942167525,0.0,0.0,0.0,0.0,0.0,,
0.75,21.135867025825124,-9.575,376.37784942167525,0.0,0.0,0.0,0.0,0.0,,
0.5833333333333334,21.135867025825124,-9.575,376.37784942167525,0.0,0.0,0.0,0.0,0.0,,
0.6666666666666667,21.135867025825124,-9.575,376.37784942167525,0.0,0.0,0.0,0.0,0.0,,
0.75,21.135867025825124,-9.575,376.37784942167525,0.0,0.0,0.0,0.0,0.0,,
1.0,20.535948109455884,-12.2,376.37784942167525,0.0,0.0,0.0,0.0,0.0,,
0.875,20.535948109455884,-12.2,376.37784942167525,0.0,0.0,0.0,0.0,0.0,,
1.0,20.535948109455884,-12.2,376.37784942167525,0.0,0.0,0.0,0.0,0.0,,
1.25,20.01019483654393,-12.075,376.37784942167525,0.0,0.0,0.0,0.0,0.0,,
1.125,20.01019483654393,-12.075,376.37784942167525,0.0,0.0,0.0,0.0,0.0,,
1.25,20.01019483654393,-12.075,376.37784942167525,0.0,0.0,0.0,0.0,0.0,,
1.5,19.56945834192537,-11.95,376.37784942167525,0.0,0.0,0.0,0.0,0.0,,
1.375,19.56945834192537,-11.95,376.37784942167525,0.0,0.0,0.0,0.0,0.0,,
1.5,19.56945834192537,-11.95,376.37784942167525,0.0,0.0,0.0,0.0,0.0,,
1.75,19.235257756100964,-11.825,376.37784942167525,0.0,0.0,0.0,0.0,0.0,,
1.625,19.235257756100964,-11.825,376.37784942167525,0.0,0.0,0.0,0.0,0.0,,
1.75,19.235257756100964,-11.825,376.37784942167525,0.0,0.0,0.0,0.0,0.0,,
2.0,18.929348712227362,-11.7,376.37784942167525,0.0,0.0,0.0,0.0,0.0,,
1.875,18.929348712227362,-11.7,376.37784942167525,0.0,0.0,0.0,0.0,0.0,,
2.0,18.929348712227362,-11.7,376.37784942167525,0.0,0.0,0.0,0.0,0.0,,
2.25,18.65461459108746,-11.549999999999999,376.37784942167525,0.0,0.0,0.0,0.0,0.0,,
2.125,18.65461459108746,-11.549999999999999,376.37784942167525,0.0,0.0,0.0,0.0,0.0,,
2.25,18.65461459108746,-11.549999999999999,376.37784942167525,0.0,0.0,0.0,0.0,0.0,,
2.5,18.40965556607275,-11.399999999999999,376.37784942167525,0.0,0.0,0.0,0.0,0.0,,
2.375,18.40965556607275,-11.399999999999999,376.37784942167525,0.0,0.0,0.0,0.0,0.0,,
2.5,18.40965556607275,-11.399999999999999,376.37784942167525,0.0,0.0,0.0,0.0,0.0,,
2.75,18.190297932976897,-11.25,376.37784942167525,0.0,0.0,0.0,0.0,0.0,,
2.625,18.190297932976897,-11.25,376.37784942167525,0.0,0.0,0.0,0.0,0.0,,
2.75,18.190297932976897,-11.25,376.37784942167525,0.0,0.0,0.0,0.0,0.0,,
3.0,17.996475900608687,-11.1,376.37784942167525,0.0,0.0,0.0,0.0,0.0,,
2.875,17.996475900608687,-11.1,376.37784942167525,0.0,0.0,0.0,0.0,0.0,,
3.0,17.996475900608687,-11.1,376.37784942167525,0.0,0.0,0.0,0.0,0.0,,
3.25,17.823075592237842,-11.1,376.37784942167525,0.0,0.0,0.0,0.0,0.0,,
3.125,17.823075592237842,-11.1,376.37784942167525,0.0,0.0,0.0,0.0,0.0,,
3.25,17.823075592237842,-11.1,376.37784942167525,0.0,0.0,0.0,0.0,0.0,,
3.5,17.652638626425446,-11.1,376.37784942167525,0.0,0.0,0.0,0.0,0.0,,
3.75,17.491779727003212,-11.1,376.37784942167525,0.0,0.0,0.0,0.0,0.0,,
4.0,17.346127908477957,-11.1,376.37784942167525,0.0,0.0,0.0,0.0,0.0,,
4.25,17.2104032492446,-10.975,376.37784942167525,0.0,0.0,0.0,0.0,0.0,,
4.5,17.090209817414227,-10.85,376.37784942167525,0.0,0.0,0.0,0.0,0.0,,
4.75,16.98340316033817,-10.725,376.37784942167525,0.0,0.0,0.0,0.0,0.0,,
5.0,16.891691074749946,-10.6,376.37784942167525,0.0,0.0,0.0,0.0,0.0,,
